forward_rate,AJUST_FORWARD_RATE_VM_0,rendDEX_an,rendMM_an,rendTSX_an,rendSP500_an,rendEAFE_an,an_eval_int,mois_eval,scn_eval_int
0,0,0,0,0,0,0,0,12,2
0.002788338,0,-0.028110175,0.0237638353,-0.023267376,-0.072018115,0.0173023134,1,12,2
0.0335171629,0,-0.15070895,-0.023543017,-0.650746713,-0.301250298,-0.347965298,2,12,2
0.0354725589,0,0.2770577479,-0.088843317,-0.081206048,-0.016437726,-0.287083883,3,12,2
0.0389743865,0,0.1558654191,0.1512546393,0.6399817492,0.4125060598,0.3321395793,4,12,2
0.0424092394,0,-0.01795435,0.1614984206,0.327956828,0.2839187534,0.430602266,5,12,2
0.045214372,0,0.3925585358,-0.136851316,-0.197293314,0.1228696275,-0.020537062,6,12,2
0.0472869242,0,-0.112866709,0.0397632692,-0.129853464,0.0659205136,-0.19595609,7,12,2
0.0487083247,0,0.1802693924,0.368570286,-0.146876349,0.0334470882,-0.181445728,8,12,2
0.0496146018,0,0.104506652,0.0396141966,-0.028224337,0.0409933309,0.0771325559,9,12,2
0.0501403623,0,-0.015752921,0.0295597523,0.0606782721,0.2664802664,0.1246964365,10,12,2
0.0503984927,0,0.0209254334,0.1447333029,-0.225268677,-0.118230362,-0.341083453,11,12,2
0.050476111,0,0.0638512311,0.1122205908,-0.200699799,-0.145131943,0.0919132596,12,12,2
0.050437108,0,-0.063557492,-0.043246222,0.5171759145,0.4680576092,0.4943427054,13,12,2
0.0503267034,0,0.1205495617,0.0128304177,0.4247337207,0.402683535,0.2945523482,14,12,2
0.0501760351,0,-0.204790887,-0.002620467,0.5861910614,0.2505263173,0.2611057869,15,12,2
0.0500060409,0,-0.119348618,-0.101042486,-0.686377931,-0.621461539,-0.705525271,16,12,2
0.0498304804,0,0.0384756019,0.0630998832,0.2187110002,0.2757297338,0.2168036361,17,12,2
0.0496581668,0,-0.034050182,-0.040505223,0.2459180362,0.0952040039,0.0085484285,18,12,2
0.0494945644,0,0.281224431,0.1138515014,0.3205204323,-0.029917067,-0.045367693,19,12,2
0.0493429038,0,0.0671071794,0.1388137737,-0.178366379,-0.391306916,-0.131497598,20,12,2
0.0492049435,0,-0.054003324,0.0553008279,0.4050841942,0.0686195143,-0.094660764,21,12,2
0.0490814882,0,-0.054046976,-0.026722278,0.2338481952,0.0137925669,-0.291932082,22,12,2
0.0489727315,0,-0.184513173,0.1443686466,-0.068867222,-0.011375842,-0.520651849,23,12,2
0.0488784849,0,-0.300059966,0.1160663432,0.5004603188,-0.163382684,-0.197284926,24,12,2
0.0487983261,0,-0.162191323,-0.136176,-0.356674248,0.0638210835,0.0944398058,25,12,2
0.0487316968,0,0.1929550462,0.1416385832,-0.011648509,-0.075684914,-0.125560287,26,12,2
0.0486779638,0,-0.078563672,0.2583605399,-0.545530992,0.0667073412,-0.167020785,27,12,2
0.0486364603,0,-0.004504669,0.1001046382,0.4953952354,0.3936662238,0.402878138,28,12,2
0.0486065103,0,0.0412220751,0.1493170207,-0.34316299,-0.096470385,-0.079668276,29,12,2
0.0485568129,0,-0.003285093,-0.151045665,-0.512523589,-0.513035691,-0.336527855,30,12,2
0.0476815081,0,0.0015001286,-0.018490343,-0.646013845,-0.04438392,-0.137570022,31,12,2
0.0475379436,0,-0.221874293,-0.15714686,-0.681654422,-0.202159592,-0.061557082,32,12,2
0.0475379436,0,0.12859275,-0.098429013,-0.534253904,-0.152496576,-0.056230813,33,12,2
0.0475379436,0,0.053503043,0.053546303,0.0656842972,-0.025865835,0.0694814688,34,12,2
0.0475379436,0,-0.128790871,0.0883489102,-0.369089598,-0.374536035,-0.332932771,35,12,2
0.0475379436,0,-0.255844156,0.0476665454,-0.667568427,-0.111426999,-0.317831262,36,12,2
0.0475379436,0,-0.068971653,-0.043632623,0.0426372513,0.2774715309,0.0409636933,37,12,2
0.0475379436,0,0.1821844717,0.1674216883,-0.002146653,-0.274074491,-0.120669843,38,12,2
0.0475379436,0,0.1796168965,0.0338193355,-0.299037441,0.1026614563,0.0882041813,39,12,2
0.0475379436,0,-0.001691108,0.0823851677,-0.87920836,0.0955350339,-0.248273606,40,12,2
0.0475379436,0,0.1358768916,-0.025001015,-0.362425811,0.2288140402,0.2380014918,41,12,2
0.0475379436,0,-0.048749887,0.1646113334,0.5211315254,-0.042526423,0.0402231389,42,12,2
0.0475379436,0,-0.091615735,0.0412754779,0.237378135,0.0118844499,0.0730632924,43,12,2
0.0475379436,0,0.1614726148,0.1365568183,0.3516883634,0.2157310977,0.1651710428,44,12,2
0.0475379436,0,-0.118264195,0.2161065443,-0.100300226,0.1716529402,0.0895284827,45,12,2
0.0475379436,0,0.1197432372,0.1377609169,-0.122316077,-0.197286076,-0.133658884,46,12,2
