AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT
74;10;0.0;-8.048478146668702e-07;0.0;0.0;0.0;0.0;0.0008134988788986799;-0.0025522819401090197;-0.00011552847733342216;-0.00029694353566966366;1.6101674620107884;-0.0008964426220723503;-0.0005009604521280833;-0.0047291913191858485;-0.00031595204607618284;-0.0015204307533951892;-0.0005824216669270019;0.0
74;11;0.0;-7.703782223003808e-07;0.0;0.0;0.0;0.0;0.0007916047773858562;-0.0025103305421806466;-0.00011235876342720391;-0.0002889625202140326;1.572701577459946;-0.0008759274724246872;-0.0004891385765077903;-0.0046280502279405855;-0.00030888263130456235;-0.0014847570575373412;-0.0005688610122697578;0.0
74;12;0.0;-7.282678601349316e-07;0.0;0.0;0.0;0.0;0.0007751895246084823;-0.0024709346401708405;-0.00010998643494021186;-0.00028297795286257596;1.5397980594643308;-0.0008579689679626954;-0.00047870917726789504;-0.0045341855051806695;-0.00030220920252436436;-0.0014499421607695729;-0.0005568710812227955;0.0
75;1;0.0;-3.2269958557998636e-07;0.0;0.0;0.0;0.0;0.0007594026493013589;-0.0016793698919301463;-0.00010767535787106273;-0.00027722774519296344;1.5020685130354023;-0.0008377991384622962;-0.00046649870784974993;-0.0044430842246345695;-0.0002953410802775262;-0.001410894991157137;-0.00054291224689858;0.0
75;2;0.0;-3.24211162801902e-07;0.0;0.0;0.0;0.0;0.0007413975134390818;-0.0016438038274865677;-0.0001050602666957234;-0.0002706658647425223;1.4660265619531558;-0.0008182312929853299;-0.0004550274522990028;-0.004343384248764066;-0.00028815023066760284;-0.001372938281059713;-0.000529787703998281;0.0
75;3;0.0;-3.2594932600896274e-07;0.0;0.0;0.0;0.0;0.0007232827692932888;-0.001609101444696037;-0.00010241439365154548;-0.0002640666875574405;1.4296626372857675;-0.0007986150055516172;-0.00044337293916022234;-0.004250604935716076;-0.0002813541164554759;-0.0013360404279913953;-0.0005164595658381844;0.0
75;4;0.0;-3.288953869176748e-07;0.0;0.0;0.0;0.0;0.0007061010287059457;-0.0015752423881012826;-9.990307190763193e-05;-0.0002578077098252035;1.3951604079071742;-0.0007800179291240324;-0.0004323027132752513;-0.004161384648801297;-0.00027479473328599044;-0.0013001754785680578;-0.0005037917645715825;0.0
75;5;0.0;-3.2970481605487534e-07;0.0;0.0;0.0;0.0;0.0006908598049416519;-0.0015422331951354673;-9.765560654255334e-05;-0.0002522591501057259;1.3647436271711741;-0.0007637872105054133;-0.00042242897294089005;-0.00408276287597761;-0.0002688166708448037;-0.001265596394187415;-0.0004924727827027022;0.0
75;6;0.0;-4.2860107769840424e-07;0.0;0.0;0.0;0.0;0.0006732670166761416;-0.0015102438807396827;-9.511952761422906e-05;-0.00024584413876070773;1.3296167980145337;-0.000744537359362055;-0.00041136490842848017;-0.003986253898237932;-0.00026207563516948413;-0.0012319133196897743;-0.00047981035772889783;0.0
75;7;0.0;-4.301770152511693e-07;0.0;0.0;0.0;0.0;0.0006579714299912408;-0.0014787356613133696;-9.287304637118351e-05;-0.00024027418375866948;1.2988191581747923;-0.0007280289025558707;-0.00040141630896374086;-0.003908856172525219;-0.00025628538646822816;-0.0011991586866215026;-0.0004684053207980898;0.0
